epoch,loss,masked_loss,val_loss,val_masked_loss
0,59250304.0,51968584.0,221684640.0,221684640.0
1,57369772.0,50622552.0,224822064.0,224822064.0
2,58042752.0,51180632.0,222857584.0,222857584.0
3,55220400.0,48495192.0,220351168.0,220351168.0
4,36825496.0,47780632.0,219039664.0,219039664.0
5,53399912.0,45656536.0,220315120.0,220315120.0
6,53191268.0,45418872.0,219988832.0,219988832.0
7,34817488.0,45212372.0,219959776.0,219959776.0
8,51740420.0,44930244.0,222767600.0,222767600.0
9,51076092.0,43682512.0,223922432.0,223922432.0
10,54810372.0,46651804.0,221567968.0,221567968.0
11,49849876.0,42648168.0,224671536.0,224671536.0
