epoch,loss,output_a_loss,output_a_masked_loss,output_b_loss,output_b_masked_loss,val_loss,val_output_a_loss,val_output_a_masked_loss,val_output_b_loss,val_output_b_masked_loss
0,58916696227840.0,53536163364864.0,53536163364864.0,5380533387264.0,5380533387264.0,105220161536.0,98172936192.0,98172936192.0,7047223296.0,7047223296.0
1,12444502065152.0,11412479934464.0,11412479934464.0,1032022261760.0,1032022261760.0,31776065536.0,29801242624.0,29801242624.0,1974823808.0,1974823808.0
2,4282447298560.0,3949761658880.0,3949761658880.0,332685574144.0,332685574144.0,12878866432.0,12091891712.0,12091891712.0,786974400.0,786974400.0
3,1837293371392.0,1702088146944.0,1702088146944.0,135205208064.0,135205208064.0,6214900736.0,5848309760.0,5848309760.0,366590816.0,366590816.0
4,927547654144.0,861809344512.0,861809344512.0,65738330112.0,65738330112.0,3373423872.0,3177536256.0,3177536256.0,195887584.0,195887584.0
5,512126976000.0,476702867456.0,476702867456.0,35424096256.0,35424096256.0,1986820352.0,1874326144.0,1874326144.0,112494264.0,112494264.0
6,304588521472.0,283806629888.0,283806629888.0,20781883392.0,20781883392.0,1290839040.0,1218042496.0,1218042496.0,72796520.0,72796520.0
7,190867701760.0,178253709312.0,178253709312.0,12613995520.0,12613995520.0,894591168.0,844789440.0,844789440.0,49801708.0,49801708.0
8,128849756160.0,120395358208.0,120395358208.0,8454398464.0,8454398464.0,655916352.0,619838208.0,619838208.0,36078164.0,36078164.0
9,89371049984.0,83568590848.0,83568590848.0,5802455552.0,5802455552.0,506248832.0,478906976.0,478906976.0,27341844.0,27341844.0
10,65047764992.0,60880109568.0,60880109568.0,4167657216.0,4167657216.0,406535296.0,384953536.0,384953536.0,21581754.0,21581754.0
11,49995763712.0,46838657024.0,46838657024.0,3157105920.0,3157105920.0,334556384.0,317046720.0,317046720.0,17509670.0,17509670.0
12,39326195712.0,36880969728.0,36880969728.0,2445225216.0,2445225216.0,280755104.0,265926016.0,265926016.0,14829103.0,14829103.0
13,31929528320.0,29942427648.0,29942427648.0,1987100928.0,1987100928.0,238708912.0,225971504.0,225971504.0,12737412.0,12737412.0
14,26454415360.0,24827199488.0,24827199488.0,1627216384.0,1627216384.0,205798400.0,194683696.0,194683696.0,11114705.0,11114705.0
15,22651990016.0,21264566272.0,21264566272.0,1387424256.0,1387424256.0,179914192.0,170265568.0,170265568.0,9648624.0,9648624.0
16,19291547648.0,18115471360.0,18115471360.0,1176076288.0,1176076288.0,158791696.0,150231184.0,150231184.0,8560507.0,8560507.0
17,17114851328.0,16076212224.0,16076212224.0,1038639552.0,1038639552.0,141253520.0,133653736.0,133653736.0,7599781.5,7599781.5
18,15204228096.0,14282700800.0,14282700800.0,921527360.0,921527360.0,126909472.0,120063904.0,120063904.0,6845565.0,6845565.0
19,13575584768.0,12761580544.0,12761580544.0,814004032.0,814004032.0,115064656.0,108818488.0,108818488.0,6246168.0,6246168.0
20,12285211648.0,11548166144.0,11548166144.0,737045056.0,737045056.0,105213032.0,99497248.0,99497248.0,5715782.0,5715782.0
21,11209056256.0,10532377600.0,10532377600.0,676679168.0,676679168.0,96999288.0,91716888.0,91716888.0,5282399.5,5282399.5
22,10326425600.0,9707242496.0,9707242496.0,619183104.0,619183104.0,90093848.0,85229328.0,85229328.0,4864522.0,4864522.0
23,9653735424.0,9084847104.0,9084847104.0,568887936.0,568887936.0,84180024.0,79676576.0,79676576.0,4503447.5,4503447.5
24,9014040576.0,8474206720.0,8474206720.0,539833536.0,539833536.0,79056080.0,74857416.0,74857416.0,4198667.5,4198667.5
25,8366921728.0,7872061952.0,7872061952.0,494859904.0,494859904.0,74527968.0,70571032.0,70571032.0,3956936.5,3956936.5
26,7855105024.0,7384949248.0,7384949248.0,470155680.0,470155680.0,70582800.0,66830356.0,66830356.0,3752442.5,3752442.5
27,7436539904.0,6993635328.0,6993635328.0,442904576.0,442904576.0,67139496.0,63589384.0,63589384.0,3550108.25,3550108.25
28,7078266368.0,6665312768.0,6665312768.0,412953696.0,412953696.0,64129580.0,60761504.0,60761504.0,3368076.5,3368076.5
29,6682045440.0,6293861888.0,6293861888.0,388183360.0,388183360.0,61422824.0,58224856.0,58224856.0,3197968.75,3197968.75
30,6449703424.0,6063070720.0,6063070720.0,386632864.0,386632864.0,59012672.0,55954056.0,55954056.0,3058615.5,3058615.5
31,6164021760.0,5798810624.0,5798810624.0,365211072.0,365211072.0,56829504.0,53893536.0,53893536.0,2935968.0,2935968.0
32,5937005568.0,5583668224.0,5583668224.0,353337600.0,353337600.0,54834848.0,52006732.0,52006732.0,2828114.25,2828114.25
33,5669101568.0,5333896704.0,5333896704.0,335204608.0,335204608.0,53035652.0,50314424.0,50314424.0,2721228.0,2721228.0
34,5519150592.0,5189338624.0,5189338624.0,329811968.0,329811968.0,51383152.0,48759080.0,48759080.0,2624074.0,2624074.0
35,5405273600.0,5087124992.0,5087124992.0,318148672.0,318148672.0,49894260.0,47351952.0,47351952.0,2542308.75,2542308.75
36,5193639936.0,4883107328.0,4883107328.0,310532864.0,310532864.0,48529760.0,46054528.0,46054528.0,2475231.5,2475231.5
37,4965042688.0,4672111616.0,4672111616.0,292931232.0,292931232.0,47271888.0,44857268.0,44857268.0,2414620.25,2414620.25
38,4826089984.0,4543052288.0,4543052288.0,283037760.0,283037760.0,46098428.0,43736392.0,43736392.0,2362035.25,2362035.25
39,4706237440.0,4426285568.0,4426285568.0,279951648.0,279951648.0,44999556.0,42668952.0,42668952.0,2330605.0,2330605.0
40,4523490304.0,4251156736.0,4251156736.0,272333600.0,272333600.0,43987760.0,41685560.0,41685560.0,2302200.5,2302200.5
41,4437867008.0,4175600640.0,4175600640.0,262266400.0,262266400.0,43058588.0,40780068.0,40780068.0,2278520.25,2278520.25
42,4376441856.0,4114400256.0,4114400256.0,262041584.0,262041584.0,42205316.0,39945408.0,39945408.0,2259908.0,2259908.0
43,4264031232.0,4009700608.0,4009700608.0,254330640.0,254330640.0,41418260.0,39171252.0,39171252.0,2247006.75,2247006.75
44,4053532160.0,3810593024.0,3810593024.0,242939216.0,242939216.0,40682528.0,38445584.0,38445584.0,2236943.0,2236943.0
45,4034632704.0,3790294528.0,3790294528.0,244338192.0,244338192.0,39994084.0,37760548.0,37760548.0,2233536.5,2233536.5
46,3919417088.0,3684049920.0,3684049920.0,235367120.0,235367120.0,39329920.0,37102224.0,37102224.0,2227694.0,2227694.0
47,3940471296.0,3706372352.0,3706372352.0,234099056.0,234099056.0,38687192.0,36465860.0,36465860.0,2221332.5,2221332.5
48,3827980288.0,3599431936.0,3599431936.0,228548224.0,228548224.0,38066340.0,35846604.0,35846604.0,2219734.75,2219734.75
49,3714642432.0,3484743168.0,3484743168.0,229899232.0,229899232.0,37486500.0,35262224.0,35262224.0,2224275.75,2224275.75
50,3726801408.0,3502577408.0,3502577408.0,224223936.0,224223936.0,36934644.0,34703104.0,34703104.0,2231541.5,2231541.5
51,3607621120.0,3386412800.0,3386412800.0,221208288.0,221208288.0,36397432.0,34158772.0,34158772.0,2238661.5,2238661.5
52,3537965824.0,3325112320.0,3325112320.0,212853584.0,212853584.0,35877012.0,33628684.0,33628684.0,2248329.75,2248329.75
53,3594795520.0,3376652800.0,3376652800.0,218142832.0,218142832.0,35375620.0,33115750.0,33115750.0,2259870.0,2259870.0
54,3447473152.0,3239679232.0,3239679232.0,207793936.0,207793936.0,34883664.0,32609266.0,32609266.0,2274399.0,2274399.0
55,3441653760.0,3230771200.0,3230771200.0,210882464.0,210882464.0,34393428.0,32103014.0,32103014.0,2290413.0,2290413.0
56,3386705408.0,3178035456.0,3178035456.0,208670048.0,208670048.0,33917320.0,31608242.0,31608242.0,2309077.25,2309077.25
57,3287460864.0,3088361216.0,3088361216.0,199099536.0,199099536.0,33433884.0,31110172.0,31110172.0,2323712.0,2323712.0
